Observation date,gas_price,int_rate,une_rate,m_supply,inflation_change,gas_price_change
1/1/1991,1.18,6.91,6.4,3287.7,0.6,-0.086
2/1/1991,1.094,6.25,6.6,3304.5,0.1,-0.054
3/1/1991,1.04,6.12,6.8,3321.9,0.1,0.036
4/1/1991,1.076,5.91,6.7,3332.4,0.1,0.05
5/1/1991,1.126,5.78,6.9,3343,0.3,0.002
6/1/1991,1.128,5.9,6.9,3351.9,0.3,-0.032
7/1/1991,1.096,5.82,6.8,3356.1,0.1,0.019
8/1/1991,1.115,5.66,6.9,3355,0.3,-0.006
9/1/1991,1.109,5.45,6.9,3354.9,0.4,-0.021
10/1/1991,1.088,5.21,7,3360.1,0.1,0.011
11/1/1991,1.099,4.81,7,3365.5,0.3,-0.023
12/1/1991,1.076,4.43,7.3,3372.2,0.1,-0.054
1/1/1992,1.022,4.03,7.3,3381.2,0.1,-0.016
2/1/1992,1.006,4.06,7.4,3400,0.4,0.007
3/1/1992,1.013,3.98,7.4,3403.9,0.5,0.039
4/1/1992,1.052,3.73,7.4,3399.7,0.1,0.055
5/1/1992,1.107,3.82,7.6,3398.6,0.1,0.038
6/1/1992,1.145,3.76,7.8,3393.4,0.4,-0.008
7/1/1992,1.137,3.25,7.7,3393.9,0.2,-0.015
8/1/1992,1.122,3.3,7.6,3398.8,0.3,0
9/1/1992,1.122,3.22,7.6,3410.3,0.3,-0.008
10/1/1992,1.114,3.1,7.3,3423.8,0.4,-0.003
11/1/1992,1.111,3.09,7.4,3426.5,0.1,-0.033
12/1/1992,1.078,2.92,7.4,3424.7,-0.1,-0.016
1/1/1993,1.062,3.02,7.3,3419.1,0.5,-0.008
2/1/1993,1.054,3.03,7.1,3414.5,0.4,-0.002
3/1/1993,1.052,3.07,7,3411.7,0.3,0.026
4/1/1993,1.078,2.96,7.1,3411.3,0.3,0.022
5/1/1993,1.1,3,7.1,3436.9,0.1,-0.003
6/1/1993,1.097,3.04,7,3442.4,0.1,-0.019
7/1/1993,1.078,3.06,6.9,3442,0,-0.016
8/1/1993,1.062,3.03,6.8,3445.7,0.3,-0.012
9/1/1993,1.05,3.09,6.7,3452.2,0.2,0.042
10/1/1993,1.092,2.99,6.8,3456.7,0.4,-0.026
11/1/1993,1.066,3.02,6.6,3470.1,0.1,-0.052
12/1/1993,1.014,2.96,6.5,3474.5,0,-0.016
1/1/1994,0.998,3.05,6.6,3474.9,0.3,0.011
2/1/1994,1.009,3.25,6.6,3475.7,0.3,-0.001
3/1/1994,1.008,3.34,6.5,3480.1,0.3,0.019
4/1/1994,1.027,3.56,6.4,3481.3,0.1,0.02
5/1/1994,1.047,4.01,6.1,3490.8,0.1,0.031
6/1/1994,1.078,4.25,6.1,3479.5,0.3,0.028
7/1/1994,1.106,4.26,6.1,3488.2,0.3,0.049
8/1/1994,1.155,4.47,6,3485.7,0.4,-0.011
9/1/1994,1.144,4.73,5.9,3486.1,0.3,-0.03
10/1/1994,1.114,4.76,5.8,3484.3,0.1,0.002
11/1/1994,1.116,5.29,5.6,3487.2,0.1,-0.025
12/1/1994,1.091,5.45,5.5,3486.4,0,-0.009
1/1/1995,1.082,5.53,5.6,3492.4,0.4,-0.009
2/1/1995,1.073,5.92,5.4,3489.9,0.4,-0.001
3/1/1995,1.072,5.98,5.4,3491.1,0.3,0.039
4/1/1995,1.111,6.05,5.8,3499.2,0.3,0.067
5/1/1995,1.178,6.01,5.6,3524.2,0.2,0.014
6/1/1995,1.192,6,5.6,3548.9,0.2,-0.038
7/1/1995,1.154,5.85,5.7,3567.4,0,-0.031
8/1/1995,1.123,5.74,5.7,3589,0.3,-0.012
9/1/1995,1.111,5.8,5.6,3602.1,0.2,-0.024
10/1/1995,1.087,5.76,5.5,3613.4,0.3,-0.025
11/1/1995,1.062,5.8,5.6,3619.9,-0.1,0.009
12/1/1995,1.071,5.6,5.6,3629.5,-0.1,0.019
1/1/1996,1.09,5.56,5.6,3647.9,0.6,-0.001
2/1/1996,1.089,5.22,5.5,3661.8,0.3,0.048
3/1/1996,1.137,5.31,5.5,3686.9,0.5,0.094
4/1/1996,1.231,5.22,5.6,3697.7,0.4,0.047
5/1/1996,1.278,5.24,5.6,3709.6,0.2,-0.019
6/1/1996,1.259,5.27,5.3,3722.5,0.1,-0.031
7/1/1996,1.228,5.4,5.5,3737.1,0.2,-0.022
8/1/1996,1.206,5.22,5.1,3744,0.2,-0.004
9/1/1996,1.202,5.3,5.2,3753.4,0.3,0.002
10/1/1996,1.204,5.24,5.2,3772.8,0.3,0.028
11/1/1996,1.232,5.31,5.4,3795.1,0.2,0.003
12/1/1996,1.235,5.29,5.4,3818.6,0,0.001
1/1/1997,1.236,5.25,5.3,3834.6,0.3,-0.006
2/1/1997,1.23,5.19,5.2,3846.3,0.3,-0.025
3/1/1997,1.205,5.39,5.2,3861.2,0.3,-0.006
4/1/1997,1.199,5.51,5.1,3877,0.1,0.001
5/1/1997,1.2,5.5,4.9,3889.2,-0.1,-0.002
6/1/1997,1.198,5.56,5,3906,0.1,-0.024
7/1/1997,1.174,5.52,4.9,3923.9,0.1,0.05
8/1/1997,1.224,5.54,4.8,3957.4,0.2,0.007
9/1/1997,1.231,5.54,4.9,3973.1,0.2,-0.034
10/1/1997,1.197,5.5,4.7,3992.3,0.2,-0.026
11/1/1997,1.171,5.52,4.6,4014.8,-0.1,-0.04
12/1/1997,1.131,5.5,4.7,4032.9,-0.1,-0.045
1/1/1998,1.086,5.56,4.6,4056.2,0.2,-0.037
2/1/1998,1.049,5.51,4.6,4088.9,0.2,-0.032
3/1/1998,1.017,5.49,4.7,4114.3,0.2,0.013
4/1/1998,1.03,5.45,4.3,4140.2,0.2,0.034
5/1/1998,1.064,5.49,4.4,4164.4,0.2,0
6/1/1998,1.064,5.56,4.5,4184.1,0.1,-0.009
